Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDP07,18.2,Low Fat,0.090084098,Fruits and Vegetables,197.211,OUT045,2002,Medium,Tier 2,Supermarket Type1,2685.044024643393
FDK27,11.0,Low Fat,0.008960445,Meat,119.1756,OUT049,1999,Medium,Tier 1,Supermarket Type1,2107.823925004188
FDP31,21.1,Regular,0.162418495,Fruits and Vegetables,64.9168,OUT017,2007,Medium,Tier 2,Supermarket Type1,2013.267732812461
NCI54,15.2,Low Fat,0.056237906,Household,110.7912,OUT010,1998,Medium,Tier 3,Grocery Store,1822.6588250748662
DRK35,12.857645184135976,Low Fat,0.071498575,Hard Drinks,37.7506,OUT027,1985,Medium,Tier 3,Supermarket Type3,2642.130338549378
NCO07,9.06,Low Fat,0.009791467,Others,213.256,OUT049,1999,Medium,Tier 1,Supermarket Type1,2827.474826777505
FDN31,11.5,Low Fat,0.072820885,Fruits and Vegetables,191.253,OUT013,1987,High,Tier 3,Supermarket Type1,2494.3340059576594
NCO02,11.15,Low Fat,0.073354286,Others,66.8142,OUT035,2004,Small,Tier 2,Supermarket Type1,2033.950271939838
FDQ26,13.5,Regular,0.068010049,Dairy,57.2562,OUT045,2002,Medium,Tier 2,Supermarket Type1,1924.9589410734552
FDQ07,15.1,Regular,0.087406863,Fruits and Vegetables,221.8456,OUT046,1997,Small,Tier 1,Supermarket Type1,2754.143755020333
FDB49,8.3,Regular,0.030198228,Baking Goods,98.2384,OUT049,1999,Medium,Tier 1,Supermarket Type1,2182.3226376841367
FDY44,14.15,Regular,0.024442501,Fruits and Vegetables,196.411,OUT049,1999,Medium,Tier 1,Supermarket Type1,2698.537853065511
NCI54,12.857645184135976,Low Fat,0.033436336,Household,107.3912,OUT027,1985,Medium,Tier 3,Supermarket Type3,3094.463323618922
FDV44,8.365,Regular,0.039844429,Fruits and Vegetables,190.1188,OUT046,1997,Small,Tier 1,Supermarket Type1,2651.7765583426285
FDI48,11.85,Regular,0.055805027,Baking Goods,53.0666,OUT049,1999,Medium,Tier 1,Supermarket Type1,1889.425815845334
NCL05,19.6,Low Fat,0.047888606,Health and Hygiene,42.277,OUT035,2004,Small,Tier 2,Supermarket Type1,1894.46175823938
FDT32,19.0,Regular,0.065735977,Fruits and Vegetables,189.6214,OUT049,1999,Medium,Tier 1,Supermarket Type1,2578.426969375376
FDM10,18.25,Low Fat,0.076089711,Snack Foods,212.9218,OUT049,1999,Medium,Tier 1,Supermarket Type1,2703.0313021016837
FDS21,19.85,Regular,0.020908608,Snack Foods,63.5194,OUT049,1999,Medium,Tier 1,Supermarket Type1,2301.570250024698
FDD11,12.85,Low Fat,0.030678825,Starchy Foods,251.704,OUT045,2002,Medium,Tier 2,Supermarket Type1,3031.254953958943
FDL04,12.857645184135976,Low Fat,0.111381428,Frozen Foods,106.7622,OUT027,1985,Medium,Tier 3,Supermarket Type3,2898.610788544718
FDO58,19.6,Low Fat,0.039738393,Snack Foods,163.7526,OUT018,2009,Medium,Tier 3,Supermarket Type2,2809.0971669605146
FDQ08,15.7,Regular,0.01903743,Fruits and Vegetables,60.5536,OUT017,2007,Medium,Tier 2,Supermarket Type1,2048.7985699374794
FDT28,13.3,Low Fat,0.06356617,Frozen Foods,151.3708,OUT046,1997,Small,Tier 1,Supermarket Type1,2461.8520987902375
FDT22,10.395,Low Fat,0.112553853,Snack Foods,59.022,OUT018,2009,Medium,Tier 3,Supermarket Type2,2306.693780325389
FDB58,10.5,Regular,0.013493914,Snack Foods,143.7154,OUT035,2004,Small,Tier 2,Supermarket Type1,2356.433579515704
FDN45,19.35,Low Fat,0.118102769,Snack Foods,224.8088,OUT046,1997,Small,Tier 1,Supermarket Type1,2808.4562746997676
FDZ45,14.1,Low Fat,0.06682033,Snack Foods,198.9084,OUT013,1987,High,Tier 3,Supermarket Type1,2688.3621969327487
FDJ38,8.6,Regular,0.040205535,Canned,188.753,OUT046,1997,Small,Tier 1,Supermarket Type1,2576.5336730034664
NCT06,17.1,Low Fat,0.038816115,Household,166.4842,OUT045,2002,Medium,Tier 2,Supermarket Type1,2366.4689126801973
FDU21,12.857645184135976,Regular,0.076348933,Snack Foods,32.8558,OUT027,1985,Medium,Tier 3,Supermarket Type3,2636.297014895344
NCP30,20.5,Low Fat,0.032819637,Household,38.9822,OUT049,1999,Medium,Tier 1,Supermarket Type1,1875.3886667591748
FDR27,15.1,Regular,0.096249842,Meat,134.4942,OUT049,1999,Medium,Tier 1,Supermarket Type1,2349.362992512681
FDW39,6.69,Regular,0.0,Meat,176.937,OUT017,2007,Medium,Tier 2,Supermarket Type1,2750.4057202082727
DRZ24,12.857645184135976,Low Fat,0.0,Soft Drinks,121.044,OUT027,1985,Medium,Tier 3,Supermarket Type3,3163.1949850793044
FDK21,7.905,Low Fat,0.010003987,Snack Foods,250.7408,OUT013,1987,High,Tier 3,Supermarket Type1,2862.669631606208
FDJ04,18.0,Low Fat,0.124452048,Frozen Foods,118.5124,OUT046,1997,Small,Tier 1,Supermarket Type1,2344.0800961581804
FDZ13,7.84,Regular,0.154363209,Canned,50.835,OUT017,2007,Medium,Tier 2,Supermarket Type1,1854.008426476737
FDS16,15.15,Regular,0.066551268,Frozen Foods,144.676,OUT017,2007,Medium,Tier 2,Supermarket Type1,2435.211925236147
FDD56,15.2,Regular,0.173703549,Fruits and Vegetables,175.8054,OUT010,1998,Medium,Tier 3,Grocery Store,2192.723272957254
FDI57,19.85,Low Fat,0.054025644,Seafood,197.2768,OUT046,1997,Small,Tier 1,Supermarket Type1,2882.3946631863637
FDQ12,12.857645184135976,Low Fat,0.03523927,Baking Goods,231.601,OUT027,1985,Medium,Tier 3,Supermarket Type3,3578.4907420152867
FDI56,7.325,Low Fat,0.093385381,Fruits and Vegetables,91.3146,OUT046,1997,Small,Tier 1,Supermarket Type1,2081.020875644916
NCT42,5.88,Low Fat,0.024937792,Household,148.4392,OUT045,2002,Medium,Tier 2,Supermarket Type1,2274.416613601477
FDM25,10.695,Regular,0.060654268,Breakfast,174.7712,OUT035,2004,Small,Tier 2,Supermarket Type1,2554.91987770738
DRB25,12.857645184135976,Low Fat,0.06912336,Soft Drinks,106.0938,OUT027,1985,Medium,Tier 3,Supermarket Type3,2950.9888509224725
NCY30,20.25,Low Fat,0.025953257,Household,179.5976,OUT046,1997,Small,Tier 1,Supermarket Type1,2614.122026411593
FDD44,8.05,Regular,0.07884393,Fruits and Vegetables,257.0646,OUT017,2007,Medium,Tier 2,Supermarket Type1,2862.7938418609674
FDK45,11.65,Low Fat,0.033851785,Seafood,112.186,OUT035,2004,Small,Tier 2,Supermarket Type1,2298.5694450475767
FDN45,19.35,Low Fat,0.118342285,Snack Foods,222.6088,OUT045,2002,Medium,Tier 2,Supermarket Type1,2880.849213015393
FDQ09,7.235,Low Fat,0.058121214,Snack Foods,115.8834,OUT035,2004,Small,Tier 2,Supermarket Type1,2083.049002884289
FDC17,12.15,Low Fat,0.015457803,Frozen Foods,209.9928,OUT035,2004,Small,Tier 2,Supermarket Type1,2728.129827379988
FDD45,8.615,Low Fat,0.116152226,Fruits and Vegetables,94.1436,OUT013,1987,High,Tier 3,Supermarket Type1,2002.025498620066
FDD41,6.765,Regular,0.087260103,Frozen Foods,105.0306,OUT046,1997,Small,Tier 1,Supermarket Type1,2008.4925556459734
FDU46,10.3,Regular,0.0111263,Snack Foods,87.254,OUT046,1997,Small,Tier 1,Supermarket Type1,2076.3454859660505
FDO45,13.15,Regular,0.038167453,Snack Foods,89.4856,OUT017,2007,Medium,Tier 2,Supermarket Type1,2095.1656504235343
FDG41,8.84,Regular,0.076547632,Frozen Foods,109.5228,OUT035,2004,Small,Tier 2,Supermarket Type1,2351.877502907642
DRC13,8.26,Regular,0.0,Soft Drinks,122.573,OUT045,2002,Medium,Tier 2,Supermarket Type1,2290.1017860288557
FDX50,20.1,Low Fat,0.074931201,Dairy,108.9228,OUT018,2009,Medium,Tier 3,Supermarket Type2,2517.938999439661
FDK56,9.695,Low Fat,0.0,Fruits and Vegetables,185.1898,OUT035,2004,Small,Tier 2,Supermarket Type1,2537.7170796663245
NCL18,18.85,Low Fat,0.16758389,Household,194.6136,OUT046,1997,Small,Tier 1,Supermarket Type1,2719.486718634352
FDN57,18.25,Low Fat,0.054318517,Snack Foods,140.9154,OUT049,1999,Medium,Tier 1,Supermarket Type1,2586.9931633295937
FDX03,12.857645184135976,Regular,0.060800116,Meat,44.4744,OUT027,1985,Medium,Tier 3,Supermarket Type3,2593.669728862323
NCU17,5.32,Low Fat,0.0,Health and Hygiene,101.7674,OUT013,1987,High,Tier 3,Supermarket Type1,1971.6430491888766
FDL14,8.115,Regular,0.032152786,Canned,157.3972,OUT035,2004,Small,Tier 2,Supermarket Type1,2561.7368210297427
NCU18,15.1,Low Fat,0.055840055,Household,139.8496,OUT046,1997,Small,Tier 1,Supermarket Type1,2413.4971066896724
NCH43,8.42,Low Fat,0.070968081,Household,215.9192,OUT017,2007,Medium,Tier 2,Supermarket Type1,2618.8485409498903
FDH41,9.0,Low Fat,0.081996013,Frozen Foods,216.2534,OUT035,2004,Small,Tier 2,Supermarket Type1,2733.0393203897947
FDS28,8.18,Regular,0.082737261,Frozen Foods,57.3588,OUT018,2009,Medium,Tier 3,Supermarket Type2,2036.3655503786497
FDG02,12.857645184135976,Low Fat,0.011206632,Canned,191.4188,OUT027,1985,Medium,Tier 3,Supermarket Type3,3480.337176369133
FDS40,15.35,Low Fat,0.014047825,Frozen Foods,36.719,OUT045,2002,Medium,Tier 2,Supermarket Type1,1916.2967813274468
FDD10,20.6,Regular,0.045982389,Snack Foods,177.0344,OUT013,1987,High,Tier 3,Supermarket Type1,2702.1224166630263
DRQ35,9.3,Low Fat,0.042256257,Hard Drinks,124.4388,OUT013,1987,High,Tier 3,Supermarket Type1,2172.9541953165967
NCL05,19.6,Low Fat,0.0,Health and Hygiene,42.877,OUT049,1999,Medium,Tier 1,Supermarket Type1,1977.2399729122687
FDJ48,11.3,Low Fat,0.056424146,Baking Goods,247.8118,OUT035,2004,Small,Tier 2,Supermarket Type1,2809.812956915233
FDV21,12.857645184135976,Low Fat,0.170254469,Snack Foods,124.8704,OUT027,1985,Medium,Tier 3,Supermarket Type3,3088.2319177953054
FDJ26,15.3,Regular,0.084749164,Canned,215.5218,OUT035,2004,Small,Tier 2,Supermarket Type1,2676.606712210958
NCN05,8.235,Low Fat,0.014541462,Health and Hygiene,184.495,OUT017,2007,Medium,Tier 2,Supermarket Type1,2524.9062018671825
FDK09,15.2,Low Fat,0.091763303,Snack Foods,228.5352,OUT046,1997,Small,Tier 1,Supermarket Type1,2729.129116916781
FDM56,12.857645184135976,Low Fat,0.069851683,Fruits and Vegetables,110.9912,OUT027,1985,Medium,Tier 3,Supermarket Type3,3100.697509687252
DRF25,9.0,Low Fat,0.039004193,Soft Drinks,37.019,OUT045,2002,Medium,Tier 2,Supermarket Type1,1884.268992832533
FDG14,9.0,Regular,0.05060313,Canned,150.9024,OUT045,2002,Medium,Tier 2,Supermarket Type1,2360.440789403407
FDZ31,15.35,Regular,0.113195815,Fruits and Vegetables,190.8504,OUT035,2004,Small,Tier 2,Supermarket Type1,2614.2131320968024
FDU21,12.857645184135976,Regular,0.134327613,Snack Foods,35.0558,OUT019,1985,Small,Tier 1,Grocery Store,1320.8043321706762
FDC57,20.1,Regular,0.054584207,Fruits and Vegetables,193.382,OUT035,2004,Small,Tier 2,Supermarket Type1,2676.643764659457
FDU46,10.3,Regular,0.018623146,Snack Foods,87.854,OUT010,1998,Medium,Tier 3,Grocery Store,1728.9420576366604
FDU22,12.35,Low Fat,0.093278912,Snack Foods,118.7124,OUT035,2004,Small,Tier 2,Supermarket Type1,2440.085991282398
DRG23,8.88,Low Fat,0.086957199,Hard Drinks,152.5682,OUT045,2002,Medium,Tier 2,Supermarket Type1,2279.205038438067
FDR23,15.85,Low Fat,0.13689554,Breads,176.437,OUT010,1998,Medium,Tier 3,Grocery Store,2289.371409100195
FDI14,14.1,Low Fat,0.090043082,Canned,140.1496,OUT018,2009,Medium,Tier 3,Supermarket Type2,2796.4751608772644
NCN42,20.25,Low Fat,0.014251461,Household,148.6418,OUT045,2002,Medium,Tier 2,Supermarket Type1,2521.034181859211
NCM41,16.5,Low Fat,0.035711426,Health and Hygiene,93.612,OUT049,1999,Medium,Tier 1,Supermarket Type1,2315.8939257356105
FDT55,13.6,Regular,0.043655155,Fruits and Vegetables,156.7946,OUT046,1997,Small,Tier 1,Supermarket Type1,2487.913860308549
DRY23,12.857645184135976,Regular,0.108568067,Soft Drinks,42.9112,OUT027,1985,Medium,Tier 3,Supermarket Type3,2719.981153994794
FDL46,20.35,Low Fat,0.090480214,Snack Foods,119.5466,OUT010,1998,Medium,Tier 3,Grocery Store,1951.7432407585964
FDQ57,7.275,Low Fat,0.027942357,Snack Foods,145.076,OUT035,2004,Small,Tier 2,Supermarket Type1,2442.0443320934905
FDQ16,19.7,Low Fat,0.041730507,Frozen Foods,109.2912,OUT035,2004,Small,Tier 2,Supermarket Type1,2370.3082852048706
FDZ52,12.857645184135976,Low Fat,0.099589909,Frozen Foods,109.1886,OUT027,1985,Medium,Tier 3,Supermarket Type3,2974.670314341663
FDL16,12.857645184135976,Low Fat,0.294939214,Frozen Foods,47.106,OUT019,1985,Small,Tier 1,Grocery Store,1311.0970692734584
NCX18,14.15,Low Fat,0.008829806,Household,196.811,OUT018,2009,Medium,Tier 3,Supermarket Type2,3024.9016460083476
FDM34,19.0,Low Fat,0.067722325,Snack Foods,130.8626,OUT018,2009,Medium,Tier 3,Supermarket Type2,2666.448752348188
FDG60,12.857645184135976,Low Fat,0.060405784,Baking Goods,234.5616,OUT027,1985,Medium,Tier 3,Supermarket Type3,3666.099593872131
NCA06,20.5,Low Fat,0.0,Household,37.119,OUT018,2009,Medium,Tier 3,Supermarket Type2,2409.5900507747315
DRD12,6.96,Low Fat,0.077193561,Soft Drinks,89.9146,OUT046,1997,Small,Tier 1,Supermarket Type1,2003.9920870930569
FDP04,15.35,Low Fat,0.013869039,Frozen Foods,62.5168,OUT018,2009,Medium,Tier 3,Supermarket Type2,2375.723609995074
NCH30,17.1,Low Fat,0.067290244,Household,114.586,OUT045,2002,Medium,Tier 2,Supermarket Type1,2274.9266967846715
FDS04,10.195,Regular,0.146960375,Frozen Foods,142.2838,OUT045,2002,Medium,Tier 2,Supermarket Type1,2367.7632830764232
FDQ13,12.857645184135976,Low Fat,0.018632082,Canned,82.9908,OUT019,1985,Small,Tier 1,Grocery Store,1554.4632641225912
FDU59,5.78,Low Fat,0.096536082,Breads,162.8552,OUT049,1999,Medium,Tier 1,Supermarket Type1,2335.271935418776
DRG11,6.385,Low Fat,0.084008316,Hard Drinks,108.2596,OUT045,2002,Medium,Tier 2,Supermarket Type1,2140.0465373823577
FDA36,12.857645184135976,Low Fat,0.005638944,Baking Goods,184.9924,OUT027,1985,Medium,Tier 3,Supermarket Type3,3546.725296355509
FDA15,9.3,Low Fat,0.01601936,Dairy,248.5092,OUT035,2004,Small,Tier 2,Supermarket Type1,2848.184124199504
FDZ03,13.65,Regular,0.13187274,Dairy,188.024,OUT010,1998,Medium,Tier 3,Grocery Store,2060.5594135166502
FDJ16,9.195,Low Fat,0.114863923,Frozen Foods,59.0246,OUT035,2004,Small,Tier 2,Supermarket Type1,1939.2179541772907
FDZ12,9.17,Low Fat,0.103138922,Baking Goods,141.747,OUT049,1999,Medium,Tier 1,Supermarket Type1,2258.0365478939502
FDH09,12.6,Low Fat,0.056191301,Seafood,53.2982,OUT045,2002,Medium,Tier 2,Supermarket Type1,1829.2220167727712
FDT13,14.85,Low Fat,0.01867669,Canned,188.7214,OUT017,2007,Medium,Tier 2,Supermarket Type1,2592.821023822942
FDU20,19.35,Regular,0.021578923,Fruits and Vegetables,120.5098,OUT017,2007,Medium,Tier 2,Supermarket Type1,2330.497509887532
DRH25,18.7,Low Fat,0.0,Soft Drinks,52.2324,OUT035,2004,Small,Tier 2,Supermarket Type1,1959.782426836943
FDK26,5.46,Regular,0.032242661,Canned,187.624,OUT045,2002,Medium,Tier 2,Supermarket Type1,2360.1533849320745
FDU32,8.785,Low Fat,0.025962714,Fruits and Vegetables,120.9414,OUT035,2004,Small,Tier 2,Supermarket Type1,2311.3409387509705
FDI22,12.6,Low Fat,0.096407554,Snack Foods,210.8612,OUT045,2002,Medium,Tier 2,Supermarket Type1,2794.0922263022976
NCB54,8.76,Low Fat,0.050256604,Health and Hygiene,127.3336,OUT018,2009,Medium,Tier 3,Supermarket Type2,2671.2614573071605
FDX46,12.3,Regular,0.058234621,Snack Foods,58.7562,OUT045,2002,Medium,Tier 2,Supermarket Type1,1856.648835866015
NCC07,19.6,Low Fat,0.023931217,Household,103.1964,OUT013,1987,High,Tier 3,Supermarket Type1,2243.8970687841984
FDQ34,12.857645184135976,Low Fat,0.284065879,Snack Foods,105.5622,OUT019,1985,Small,Tier 1,Grocery Store,1713.832807123003
FDM16,8.155,Regular,0.033692089,Frozen Foods,76.2354,OUT018,2009,Medium,Tier 3,Supermarket Type2,2413.7845066649525
FDJ55,12.857645184135976,Regular,0.023417004,Meat,223.8404,OUT027,1985,Medium,Tier 3,Supermarket Type3,3689.537188938806
DRI01,7.97,Low Fat,0.034647829,Soft Drinks,171.2422,OUT017,2007,Medium,Tier 2,Supermarket Type1,2419.853181597721
FDD50,18.85,Low Fat,0.142219209,Canned,167.6132,OUT018,2009,Medium,Tier 3,Supermarket Type2,2882.016040013085
FDJ08,11.1,Low Fat,0.11089655,Fruits and Vegetables,191.5846,OUT045,2002,Medium,Tier 2,Supermarket Type1,2610.057157369219
NCK18,9.6,Low Fat,0.006708517,Household,164.6184,OUT049,1999,Medium,Tier 1,Supermarket Type1,2592.203527271741
FDQ14,9.27,Low Fat,0.103419257,Dairy,148.105,OUT010,1998,Medium,Tier 3,Grocery Store,2037.8758946859778
FDS51,13.35,Low Fat,0.032180494,Meat,61.2194,OUT046,1997,Small,Tier 1,Supermarket Type1,2046.6312879900415
FDA04,11.3,Regular,0.066717378,Frozen Foods,260.8962,OUT035,2004,Small,Tier 2,Supermarket Type1,2950.828441234349
FDP10,19.0,Low Fat,0.128814669,Snack Foods,107.6622,OUT017,2007,Medium,Tier 2,Supermarket Type1,2336.7403971162803
FDT36,12.3,Low Fat,0.111500259,Baking Goods,35.6874,OUT045,2002,Medium,Tier 2,Supermarket Type1,1838.4678941767597
FDH38,6.425,Low Fat,0.010497273,Canned,118.3808,OUT017,2007,Medium,Tier 2,Supermarket Type1,2142.0183306861145
FDC16,11.5,Regular,0.020653603,Dairy,84.954,OUT018,2009,Medium,Tier 3,Supermarket Type2,2561.7127961100155
FDF17,5.19,Low Fat,0.042687151,Frozen Foods,195.911,OUT049,1999,Medium,Tier 1,Supermarket Type1,2625.943686303122
FDU23,12.15,Low Fat,0.021705417,Breads,163.5184,OUT013,1987,High,Tier 3,Supermarket Type1,2452.7957698097216
FDB34,15.25,Low Fat,0.026651184,Snack Foods,86.6198,OUT049,1999,Medium,Tier 1,Supermarket Type1,2093.9139706080605
FDW26,11.8,Regular,0.106968096,Dairy,221.6772,OUT013,1987,High,Tier 3,Supermarket Type1,2756.627995611261
FDP45,15.7,Regular,0.030686952,Snack Foods,253.4724,OUT045,2002,Medium,Tier 2,Supermarket Type1,3006.073307621407
FDD38,16.75,Regular,0.008191729,Canned,103.5674,OUT046,1997,Small,Tier 1,Supermarket Type1,2257.0245167504963
FDM60,10.8,Regular,0.048218142,Baking Goods,42.2138,OUT049,1999,Medium,Tier 1,Supermarket Type1,1879.864622875431
FDW26,11.8,Regular,0.107036943,Dairy,220.3772,OUT035,2004,Small,Tier 2,Supermarket Type1,2862.3641184661105
FDV51,12.857645184135976,Low Fat,0.032381325,Meat,166.1842,OUT027,1985,Medium,Tier 3,Supermarket Type3,3429.030241520151
FDT33,7.81,Regular,0.034043503,Snack Foods,168.7158,OUT049,1999,Medium,Tier 1,Supermarket Type1,2479.908095801202
FDQ40,11.1,Regular,0.036027524,Frozen Foods,177.2712,OUT046,1997,Small,Tier 1,Supermarket Type1,2614.6470844613987
FDX40,12.85,Low Fat,0.0,Frozen Foods,38.3164,OUT035,2004,Small,Tier 2,Supermarket Type1,1797.4800877177968
FDU31,10.5,Regular,0.02498633,Fruits and Vegetables,216.7508,OUT035,2004,Small,Tier 2,Supermarket Type1,2768.094998995745
DRJ01,6.135,Low Fat,0.115032406,Soft Drinks,161.0236,OUT046,1997,Small,Tier 1,Supermarket Type1,2513.6963049786486
FDP11,12.857645184135976,Low Fat,0.068765925,Breads,216.9166,OUT027,1985,Medium,Tier 3,Supermarket Type3,3561.3328177099697
NCN43,12.857645184135976,Low Fat,0.006727008,Others,125.173,OUT027,1985,Medium,Tier 3,Supermarket Type3,3083.2672335518328
FDA15,9.3,Low Fat,0.016087659,Dairy,249.6092,OUT018,2009,Medium,Tier 3,Supermarket Type2,3200.835059412555
FDO04,16.6,Low Fat,0.0,Frozen Foods,54.6614,OUT017,2007,Medium,Tier 2,Supermarket Type1,1912.1363570126089
NCF43,8.51,Low Fat,0.051936086,Household,142.947,OUT035,2004,Small,Tier 2,Supermarket Type1,2271.0860043497837
NCI17,8.645,Low Fat,0.1442339,Health and Hygiene,95.441,OUT017,2007,Medium,Tier 2,Supermarket Type1,2021.8974021127979
FDY47,8.6,Regular,0.05443912,Breads,128.831,OUT013,1987,High,Tier 3,Supermarket Type1,2150.490078465709
FDF20,12.857645184135976,Low Fat,0.033059299,Fruits and Vegetables,196.4768,OUT027,1985,Medium,Tier 3,Supermarket Type3,3495.6802690573277
NCS53,14.5,Low Fat,0.089778187,Health and Hygiene,158.4604,OUT046,1997,Small,Tier 1,Supermarket Type1,2524.5950804029317
FDK38,6.65,Low Fat,0.053372768,Canned,149.5734,OUT049,1999,Medium,Tier 1,Supermarket Type1,2275.0601215882466
FDW43,20.1,Regular,0.022406575,Fruits and Vegetables,225.9036,OUT013,1987,High,Tier 3,Supermarket Type1,3000.8574263913415
FDV57,15.25,Regular,0.065896556,Snack Foods,179.266,OUT046,1997,Small,Tier 1,Supermarket Type1,2616.745089082208
FDX26,17.7,Low Fat,0.088305201,Dairy,182.3292,OUT017,2007,Medium,Tier 2,Supermarket Type1,2686.9398463499247
FDR04,7.075,Low Fat,0.022566975,Frozen Foods,97.3068,OUT046,1997,Small,Tier 1,Supermarket Type1,2053.373748191829
FDP19,11.5,Low Fat,0.0,Fruits and Vegetables,129.3652,OUT013,1987,High,Tier 3,Supermarket Type1,2390.188018165329
FDT07,5.82,Regular,0.077756427,Fruits and Vegetables,254.533,OUT017,2007,Medium,Tier 2,Supermarket Type1,2764.632074468375
DRB24,8.785,Low Fat,0.020609218,Soft Drinks,155.1656,OUT049,1999,Medium,Tier 1,Supermarket Type1,2484.5931910669206
FDB36,5.465,Regular,0.0,Baking Goods,129.1626,OUT046,1997,Small,Tier 1,Supermarket Type1,2274.210147183482
NCE07,12.857645184135976,Low Fat,0.013066448,Household,140.9154,OUT027,1985,Medium,Tier 3,Supermarket Type3,3270.8803254401423
FDI16,12.857645184135976,Regular,0.135118202,Frozen Foods,52.564,OUT027,1985,Medium,Tier 3,Supermarket Type3,2629.789782391372
FDP45,15.7,Regular,0.030624844,Snack Foods,252.2724,OUT046,1997,Small,Tier 1,Supermarket Type1,2891.443990617872
NCC43,7.39,Low Fat,0.092705683,Household,251.9066,OUT013,1987,High,Tier 3,Supermarket Type1,2894.8584159602706
FDQ23,12.857645184135976,Low Fat,0.042941559,Breads,102.9332,OUT019,1985,Small,Tier 1,Grocery Store,1745.9038320034235
FDW24,6.8,Low Fat,0.03748996,Baking Goods,48.6034,OUT035,2004,Small,Tier 2,Supermarket Type1,1889.3285233679296
FDW09,12.857645184135976,Regular,0.025795293,Snack Foods,80.2302,OUT027,1985,Medium,Tier 3,Supermarket Type3,2807.45878082454
FDN10,11.5,Low Fat,0.046115083,Snack Foods,120.2124,OUT035,2004,Small,Tier 2,Supermarket Type1,2320.8583955133336
FDE23,17.6,Regular,0.053170949,Starchy Foods,45.606,OUT035,2004,Small,Tier 2,Supermarket Type1,1838.8426603185194
FDV16,7.75,Regular,0.082915017,Frozen Foods,34.9558,OUT035,2004,Small,Tier 2,Supermarket Type1,1815.005486514362
FDF12,12.857645184135976,Low Fat,0.082028694,Baking Goods,148.6076,OUT027,1985,Medium,Tier 3,Supermarket Type3,3280.65057953304
FDN21,18.6,Low Fat,0.076975118,Snack Foods,161.8236,OUT049,1999,Medium,Tier 1,Supermarket Type1,2460.888695525634
DRC25,5.73,Low Fat,0.045371855,Soft Drinks,86.0882,OUT046,1997,Small,Tier 1,Supermarket Type1,2071.617197866778
NCP18,12.15,Low Fat,0.028642712,Household,149.0708,OUT049,1999,Medium,Tier 1,Supermarket Type1,2433.3680250666844
FDW60,5.44,Regular,0.017047751,Baking Goods,174.637,OUT013,1987,High,Tier 3,Supermarket Type1,2435.953776004581
FDY04,17.7,Regular,0.042562588,Frozen Foods,165.021,OUT045,2002,Medium,Tier 2,Supermarket Type1,2460.1393312739033
NCJ31,12.857645184135976,Low Fat,0.181769264,Others,240.6196,OUT027,1985,Medium,Tier 3,Supermarket Type3,3483.7797645075534
DRN47,12.1,Low Fat,0.016812745,Hard Drinks,180.666,OUT013,1987,High,Tier 3,Supermarket Type1,2603.8956312839755
FDU13,8.355,Low Fat,0.0,Canned,145.6418,OUT013,1987,High,Tier 3,Supermarket Type1,2246.5747782910357
FDT39,6.26,Regular,0.016516867,Meat,151.1366,OUT010,1998,Medium,Tier 3,Grocery Store,2017.6521024553047
NCQ18,15.75,Low Fat,0.134960397,Household,101.37,OUT013,1987,High,Tier 3,Supermarket Type1,2135.79394421342
FDV25,5.905,Low Fat,0.045614252,Canned,221.5456,OUT013,1987,High,Tier 3,Supermarket Type1,2758.302296035056
NCE30,16.0,Low Fat,0.099136036,Household,210.3902,OUT046,1997,Small,Tier 1,Supermarket Type1,2698.219342040811
NCN42,20.25,Low Fat,0.014222617,Household,148.9418,OUT046,1997,Small,Tier 1,Supermarket Type1,2473.741868592233
FDW25,5.175,Low Fat,0.037457098,Canned,83.4224,OUT049,1999,Medium,Tier 1,Supermarket Type1,2068.6831073430635
FDS49,9.0,Low Fat,0.079279489,Canned,77.2644,OUT013,1987,High,Tier 3,Supermarket Type1,2023.4868978267293
FDN34,15.6,Regular,0.045835395,Snack Foods,168.2132,OUT049,1999,Medium,Tier 1,Supermarket Type1,2559.4407790746222
FDS45,5.175,Regular,0.029616108,Snack Foods,107.7622,OUT018,2009,Medium,Tier 3,Supermarket Type2,2533.294353184682
NCL53,12.857645184135976,Low Fat,0.0,Health and Hygiene,175.4028,OUT027,1985,Medium,Tier 3,Supermarket Type3,3282.7446819847914
FDT38,18.7,Low Fat,0.0576269,Dairy,83.3566,OUT049,1999,Medium,Tier 1,Supermarket Type1,2195.5126443989584
NCX06,17.6,Low Fat,0.015687045,Household,182.6976,OUT046,1997,Small,Tier 1,Supermarket Type1,2690.641981021088
NCY17,18.2,Low Fat,0.162960415,Health and Hygiene,43.5086,OUT013,1987,High,Tier 3,Supermarket Type1,1796.7281422138801
NCO18,13.15,Low Fat,0.024651269,Household,179.5686,OUT046,1997,Small,Tier 1,Supermarket Type1,2557.490927606064
FDY47,8.6,Regular,0.091195818,Breads,130.231,OUT010,1998,Medium,Tier 3,Grocery Store,1888.4125079897897
FDF57,12.857645184135976,Regular,0.058542509,Fruits and Vegetables,168.6448,OUT027,1985,Medium,Tier 3,Supermarket Type3,3331.769454589221
